2000	0.000112	0.000244
3000	0.000024	0.000007
4000	0.000021	0.000003
5000	0.000026	0.000004
6000	0.000029	0.000002
7000	0.000034	0.000003
8000	0.000038	0.000003
9000	0.000045	0.000005
10000	0.000050	0.000004
11000	0.000053	0.000005
12000	0.000057	0.000005
13000	0.000061	0.000004
14000	0.000063	0.000001
15000	0.000070	0.000002
16000	0.000076	0.000005
17000	0.000082	0.000004
18000	0.000085	0.000005
19000	0.000093	0.000008
20000	0.000148	0.000043
21000	0.000194	0.000006
22000	0.000205	0.000005
23000	0.000216	0.000003
24000	0.000222	0.000004
25000	0.000233	0.000005
26000	0.000244	0.000011
27000	0.000256	0.000004
28000	0.000262	0.000012
29000	0.000266	0.000005
30000	0.000277	0.000004
31000	0.000289	0.000005
32000	0.000297	0.000006
33000	0.000308	0.000009
34000	0.000316	0.000002
35000	0.000335	0.000004
36000	0.000336	0.000008
37000	0.000353	0.000007
38000	0.000354	0.000002
39000	0.000366	0.000001
40000	0.000378	0.000009
41000	0.000389	0.000009
42000	0.000394	0.000005
43000	0.000403	0.000001
44000	0.000412	0.000001
45000	0.000418	0.000001
46000	0.000433	0.000000
47000	0.000439	0.000005
48000	0.000457	0.000005
49000	0.000458	0.000004
50000	0.000473	0.000011
